,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Description,Wind_Speed,Country,Date
189,colares,38.8,-9.45,16.110000000000014,82,60,light rain,7.01,PT,2020-05-10 02:29:04
190,santa rita,-17.97,-63.35,19.0,77,0,clear sky,3.1,BO,2020-05-10 02:29:04
191,ballina,54.12,-9.17,10.560000000000002,90,100,overcast clouds,3.58,IE,2020-05-10 02:29:05
192,lafayette,30.23,-92.07,16.110000000000014,72,1,clear sky,2.6,US,2020-05-10 02:27:19
193,ambulu,-8.35,113.61,28.25,74,84,broken clouds,2.16,ID,2020-05-10 02:29:06
194,vidim,56.41,103.11,9.180000000000007,87,100,overcast clouds,5.58,RU,2020-05-10 02:29:07
195,limpio,-25.18,-57.53,16.0,59,0,clear sky,1.5,PY,2020-05-10 02:29:07
196,butaritari,3.07,172.79,28.900000000000034,76,52,broken clouds,3.66,KI,2020-05-10 02:29:08
197,bougouni,11.42,-7.48,29.430000000000007,53,80,broken clouds,3.78,ML,2020-05-10 02:29:08
198,treinta y tres,-33.23,-54.38,11.660000000000025,83,0,clear sky,3.81,UY,2020-05-10 02:29:09
199,husavik,66.04,-17.34,-5.0,73,0,clear sky,6.2,IS,2020-05-10 02:29:09
200,grand gaube,-20.01,57.66,21.110000000000014,82,29,light rain,0.89,MU,2020-05-10 02:29:10
201,poronaysk,49.22,143.12,6.720000000000027,75,100,overcast clouds,3.99,RU,2020-05-10 02:28:45
202,tocopilla,-22.09,-70.2,17.74000000000001,64,31,scattered clouds,2.23,CL,2020-05-10 02:29:10
203,clyde river,70.47,-68.59,-16.0,84,1,clear sky,5.7,CA,2020-05-10 02:29:11
204,elko,41.0,-115.5,24.0,8,1,clear sky,2.1,US,2020-05-10 02:27:04
205,adrar,25.75,-1.0,30.74000000000001,12,0,clear sky,2.19,DZ,2020-05-10 02:29:12
206,san patricio,19.22,-104.7,24.700000000000045,73,0,clear sky,2.47,MX,2020-05-10 02:29:12
207,arica,-18.48,-70.3,17.82000000000005,83,73,broken clouds,1.28,CL,2020-05-10 02:28:43
208,marsa matruh,31.35,27.25,13.0,76,0,clear sky,4.42,EG,2020-05-10 02:29:52
209,kisangani,0.52,25.2,20.52000000000004,98,87,overcast clouds,0.25,CD,2020-05-10 02:29:52
210,nhulunbuy,-12.23,136.77,30.0,55,75,broken clouds,8.2,AU,2020-05-10 02:29:52
211,kaitangata,-46.28,169.85,13.330000000000041,77,100,overcast clouds,1.34,NZ,2020-05-10 02:28:56
212,baruun-urt,46.68,113.28,7.3700000000000045,54,1,clear sky,8.47,MN,2020-05-10 02:29:53
213,road town,18.42,-64.62,27.220000000000027,84,43,scattered clouds,0.89,VG,2020-05-10 02:26:58
214,arzgir,45.37,44.22,9.460000000000036,71,95,overcast clouds,3.56,RU,2020-05-10 02:29:54
215,qingdao,36.1,120.37,20.0,68,20,haze,2.0,CN,2020-05-10 02:29:17
